Output File                                            Name                          Type        FSH File                        Lines
CodeSystem-KHTS.A.json                                 KHTS.A                        CodeSystem  codeSystems/kenya_counties.fsh  1 - 11
CodeSystem-KNHTS.CLMSACCOMODATIONTYPE.json             KNHTS.CLMSACCOMODATIONTYPE    CodeSystem  codeSystems/claims.fsh          116 - 136
CodeSystem-KNHTS.CLMSDISP.json                         KNHTS.CLMSDISP                CodeSystem  codeSystems/claims.fsh          139 - 151
CodeSystem-KNHTS.CLMSRSPSTS.json                       KNHTS.CLMSRSPSTS              CodeSystem  codeSystems/claims.fsh          24 - 42
CodeSystem-KNHTS.CLMSSBTYPS.json                       KNHTS.CLMSSBTYPS              CodeSystem  codeSystems/claims.fsh          60 - 95
CodeSystem-KNHTS.CLMSTS.json                           KNHTS.CLMSTS                  CodeSystem  codeSystems/claims.fsh          1 - 19
CodeSystem-KNHTS.CLMSTYPS.json                         KNHTS.CLMSTYPS                CodeSystem  codeSystems/claims.fsh          47 - 57
CodeSystem-KNHTS.CLMSZONE.json                         KNHTS.CLMSZONE                CodeSystem  codeSystems/claims.fsh          98 - 113
Encounter-EncounterExample.json                        EncounterExample              Instance    examples/encounterExample.fsh   1 - 31
Patient-PatientExample.json                            PatientExample                Instance    examples/patientExample.fsh     1 - 37
StructureDefinition-Claim-ke-Profile.json              Claim_ke_Profile              Profile     profiles/claims.fsh             3 - 21
StructureDefinition-ClaimsResponse-ke-Profile.json     ClaimsResponse_ke_Profile     Profile     profiles/claims_response.fsh    1 - 9
StructureDefinition-Composition-ke-Profile.json        Composition_ke_Profile        Profile     profiles/composition.fsh        1 - 28
StructureDefinition-Condition-ke-Profile.json          Condition_ke_Profile          Profile     profiles/conditions.fsh         1 - 26
StructureDefinition-Encounter-ke-Profile.json          Encounter_ke_profile          Profile     profiles/encounter.fsh          1 - 47
StructureDefinition-Medication-ke-Profile.json         Medication_ke_Profile         Profile     profiles/medication.fsh         1 - 21
StructureDefinition-MedicationRequest-ke-Profile.json  MedicationRequest_ke_Profile  Profile     profiles/medicationRequest.fsh  1 - 57
StructureDefinition-Observation-ke-Profile.json        Observation_ke_Profile        Profile     profiles/observation.fsh        1 - 52
StructureDefinition-Patient-ke-Profile.json            Patient_ke_Profile            Profile     profiles/patient.fsh            1 - 42
StructureDefinition-ServiceRequest-ke-Profile.json     ServiceRequest_ke_Profile     Profile     profiles/serviceRequest.fsh     1 - 54
StructureDefinition-kenya-counties-extension.json      KenyaCountiesExtension        Extension   extensions/claims.fsh           1 - 8
ValueSet-ClaimsResponseVS.json                         ClaimsResponseVS              ValueSet    valueSets/claimsVS.fsh          21 - 38
ValueSet-ClaimsStatusVS.json                           ClaimsStatusVS                ValueSet    valueSets/claimsVS.fsh          1 - 18
ValueSet-kenyaCountiesVS.json                          kenyaCountiesVS               ValueSet    valueSets/kenya_countiesVS.fsh  1 - 10
